Principal Component 1:
    Feature: psqi_5g, Weight: 0.18875375940637942
    Feature: psqi_11e, Weight: 0.18564444423742568
    Feature: we_se, Weight: 0.15025515325171104
    Feature: wake_decimal_time, Weight: 0.15025515325171104
    Feature: Heterosexual, Weight: 0.14765349045870346
    Feature: psqi_11a, Weight: 0.14530412264858536
    Feature: psqi_8, Weight: 0.1409807179607298
    Feature: psqi_7, Weight: 0.13931265673319243
    Feature: psqi_9, Weight: 0.13908846338815634
    Feature: psqi_11c, Weight: 0.13576243777205527
    Feature: left_handed, Weight: 0.13473711051981813
    Feature: psqi_c4, Weight: 0.13438221010949095
    Feature: psqi_11d, Weight: 0.13234458723177164
    Feature: sds_4, Weight: 0.13223218065230327
    Feature: wd_bts, Weight: 0.12946678097288325
    Feature: psqi_5c, Weight: 0.1292239262419808
    Feature: other_orientation, Weight: 0.12881394895783946
    Feature: psqi_5a, Weight: 0.12847131352629895
    Feature: isi_4, Weight: 0.12810195806335814
    Feature: psqi_c3, Weight: 0.12794346969901355
    Feature: Islander, Weight: 0.12744283395868772
    Feature: psqi_5d, Weight: 0.12694350596277867
    Feature: sds_1, Weight: 0.1218585862241257
    Feature: sds_10, Weight: 0.12144827210925271
    Feature: psqi_c5, Weight: 0.12142970243831248
    Feature: wd_tfa, Weight: 0.12033427868820985
    Feature: psqi_6, Weight: 0.11913932078056828
    Feature: we_tst, Weight: 0.11899665303819497
    Feature: psqi_5j, Weight: 0.1183598515827297
    Feature: we_tob, Weight: 0.11788396751999088
    Feature: wd_tst, Weight: 0.1175898625248154
    Feature: isi_6, Weight: 0.11727411380504141
    Feature: wd_nwak, Weight: 0.11538050614749125
    Feature: $50,000 - $100,000, Weight: 0.11306376456386637
    Feature: isi_total, Weight: 0.11238833045528038
    Feature: sds_5, Weight: 0.11158188214101165
    Feature: psqi_11b, Weight: 0.11117842461344271
    Feature: we_ttb, Weight: 0.11117831365096127
    Feature: sds_6, Weight: 0.10884667495602643
    Feature: psqi_5f, Weight: 0.10836477971584471
    Feature: psqi_c6, Weight: 0.10475845871890742
    Feature: sds_8, Weight: 0.10358708373421072
    Feature: sds_9, Weight: 0.09917488835266298
    Feature: psqi_5h, Weight: 0.09843625679343272
    Feature: psqi_2, Weight: 0.09801415400659627
    Feature: we_tts, Weight: 0.0977743651973739
    Feature: psqi_c2, Weight: 0.09515943805026798
    Feature: we_twt, Weight: 0.09423331877316206
    Feature: Native, Weight: 0.09356252872677785
    Feature: psqi_5b, Weight: 0.09277314874757582
    Feature: isi_3, Weight: 0.09194185164351473
    Feature: psqi_10, Weight: 0.09151047424791267
    Feature: isi_5, Weight: 0.09000267350379722
    Feature: we_sq, Weight: 0.08897226376442016
    Feature: psqi_5i, Weight: 0.08510915626419387
    Feature: we_tfa, Weight: 0.08420245985929675
    Feature: sds_7, Weight: 0.08286126222895555
    Feature: >$200,000, Weight: 0.0804982838879891
    Feature: psqi_c1, Weight: 0.0798954485370666
    Feature: isi_2, Weight: 0.07926240271080885
    Feature: we_ema, Weight: 0.07888014241642727
    Feature: sleep_decimal_time, Weight: 0.07877799187559277
    Feature: transgender, Weight: 0.07875621308788242
    Feature: Multiracial, Weight: 0.07836117260650129
    Feature: wd_waso, Weight: 0.07380742256821458
    Feature: we_tib, Weight: 0.07305317807015933
    Feature: psqi_5e, Weight: 0.07305317807015933
    Feature: isi_7, Weight: 0.07304634333196566
    Feature: we_sol, Weight: 0.07134320333475819
    Feature: sds_3, Weight: 0.06984378389631053
    Feature: isi_1, Weight: 0.06744324256835715
    Feature: brisc_3, Weight: 0.0671758817412783
    Feature: wd_tob, Weight: 0.06315145687218211
    Feature: Bisexual, Weight: 0.06273490830294437
    Feature: brisc_1, Weight: 0.06230300895068944
    Feature: wd_ema, Weight: 0.06135903469572067
    Feature: we_bts, Weight: 0.06134575668902009
    Feature: $100,000 - $200,000, Weight: 0.06131024644921768
    Feature: Black, Weight: 0.06012712243145413
    Feature: brisc_4, Weight: 0.0596199993812186
    Feature: wd_tts, Weight: 0.056355864285015475
